zestimate.amount,street.name.and.number,zip.code,city,use.code,tax.assessment.year,tax.assessment.value,year.built,lot.size,finished.sqft,bathrooms,bedrooms,region.name,region.type,last.sold.date,last.sold.price,zindex.value
1288171,836 Kodak Dr,90026,Los Angeles,Duplex,2019,438374,1966,3324,2322,4,4,Silver Lake,neighborhood,10/03/2000,255500,991200
595194,505 W 102nd St,90044,Los Angeles,MultiFamily2To4,2019,499392,1943,5749,1920,NA,0,South Los Angeles,neighborhood,08/31/2016,480000,429200
740497,1411 W 213th St,90501,Torrance,SingleFamily,2019,94014,1972,5004,1910,3,4,Harbor Gateway,neighborhood,NA,NA,513600
356044,9305 Croesus Ave,90002,Los Angeles,SingleFamily,2019,106450,1952,3376,741,1,2,Watts,neighborhood,10/01/2009,92000,322300
483028,24700 Broad Ave,90744,Wilmington,SingleFamily,2019,43238,1939,6500,1072,1,3,Wilmington,neighborhood,NA,NA,423700
651675,4617 Paulhan Ave,90041,Los Angeles,SingleFamily,2019,177860,1923,5000,620,1,2,Eagle Rock,neighborhood,12/24/2002,155000,794500
890882,5209 Sylmar Ave,91401,Sherman Oaks,SingleFamily,2019,800700,1950,3935,975,1,2,Sherman Oaks,neighborhood,NA,NA,890000
562502,14273 Grammar Pl,91402,Panorama City,SingleFamily,2019,312440,1948,6951,1656,2,3,Panorama City,neighborhood,04/22/2015,200000,424200
2424334,3450 Laurel Canyon Blvd,91604,Studio City,SingleFamily,2019,1632387,1903,13381,2912,5,5,Studio City,neighborhood,07/22/2016,1569000,1188900
883454,1411 W 17th St,90732,Los Angeles,SingleFamily,2019,667076,1925,5662,1954,3,4,San Pedro,neighborhood,03/07/2003,514000,578000
746922,4928 Escobedo Dr,91364,Woodland Hills,SingleFamily,2019,82664,1953,10374,1334,2,2,Woodland Hills,neighborhood,NA,NA,757200
914837,3815 S Norton Ave,90008,Los Angeles,SingleFamily,2019,749088,1956,5950,1396,2,3,Leimert Park,neighborhood,03/03/2017,720000,683500
596041,1147 Mcfarland Ave,90744,Wilmington,SingleFamily,2019,347134,2006,4009,2078,3,4,Wilmington,neighborhood,08/12/2009,300000,423700
1077416,1459 Tamarind Ave,90028,Los Angeles,SingleFamily,NA,NA,1921,4805,1612,NA,0,Hollywood,neighborhood,12/27/2016,700000,744100
929931,10102 Wheatland Ave,91040,Sunland,SingleFamily,2019,548238,1932,107593,2300,3,4,Shadow Hills,neighborhood,NA,NA,NA
664420,5368 Village Grn,90016,Los Angeles,Condominium,2019,220000,1942,557237,1100,1,2,Crenshaw,neighborhood,05/22/1991,150000,654800
846505,5824 Burwood Ave,90042,Los Angeles,SingleFamily,2019,801000,1948,5880,1536,2,3,Highland Park,neighborhood,08/14/2018,801000,700300
455936,828 W Imperial Hwy,90044,Los Angeles,SingleFamily,2019,290573,1930,5331,1114,1,2,South Los Angeles,neighborhood,07/31/1996,130000,429200
534233,1634 W 59th Pl,90047,Los Angeles,SingleFamily,2019,264149,1986,3358,1548,2,4,South Los Angeles,neighborhood,05/23/2011,230000,429200
694544,4447 Van Horne Ave,90032,Los Angeles,SingleFamily,2019,46514,1925,6182,1154,1,2,El Sereno,neighborhood,NA,NA,481700
633676,2029 Vineburn Ave,90032,Los Angeles,SingleFamily,2019,243381,1941,5491,1026,1,2,El Sereno,neighborhood,NA,NA,481700
552372,13184 Branford St,91331,Arleta,SingleFamily,2019,290010,1953,8880,1615,2,3,Arleta,neighborhood,04/04/2002,219000,456400
772314,2118 Mcpherson Ave,90032,Los Angeles,SingleFamily,2019,665855,1941,5850,2118,NA,4,El Sereno,neighborhood,09/15/2016,640000,481700
696628,6635 Rubio Ave,91406,Van Nuys,SingleFamily,2019,390484,1950,6098,1584,2,3,Lake Balboa,neighborhood,10/26/2010,340000,546200
623647,1300 N Meyler St,90731,San Pedro,SingleFamily,2019,384293,1963,6603,1618,2,4,San Pedro,neighborhood,11/21/2019,610000,578000
832927,2425 S Corning St,90034,Los Angeles,SingleFamily,2019,754290,1931,5497,1330,1,2,Crestview,neighborhood,06/06/2017,725000,1008400
2066165,5636 Tuxedo Ter,90068,Los Angeles,SingleFamily,2019,1127052,1968,4944,2600,4,4,Hollywood Hills,neighborhood,NA,NA,1755600
514024,13557 Corcoran St,91340,San Fernando,SingleFamily,2019,403257,1956,6054,1128,2,4,Pacoima,neighborhood,10/20/2015,380000,429400
548639,21320 Stanwell St,91311,Chatsworth,SingleFamily,2019,658920,1977,9548,2326,3,4,Chatsworth,neighborhood,12/20/2017,500000,613700
1466000,1152 Van Buren Ave,90291,Venice,SingleFamily,2019,887177,1928,3172,1180,1,3,Venice,neighborhood,09/09/2004,710000,1538600
1717291,12043 Goshen Ave,90049,Los Angeles,SingleFamily,2019,106765,1947,6049,1112,2,2,Brentwood,neighborhood,NA,NA,2404000
473007,1538 W 52nd St,90062,Los Angeles,SingleFamily,2019,153558,1913,5423,1027,1,2,South Los Angeles,neighborhood,04/04/1995,102000,429200
625762,922 Nolden St,90042,Los Angeles,Townhouse,NA,NA,NA,NA,NA,1,1,Highland Park,neighborhood,NA,NA,700300
554188,1419 Lomita Blvd UNIT 3,90710,Harbor City,SingleFamily,NA,NA,2005,79261,1456,4,3,Harbor City,neighborhood,03/03/2016,455000,543400
751455,11265 Garden Grove Ave,91326,Porter Ranch,SingleFamily,2019,238840,1965,11080,1762,2,4,Northridge,neighborhood,07/20/1979,120000,676300
611060,20250 Mobile St,91306,Winnetka,SingleFamily,2019,605000,1955,7499,1329,2,4,Winnetka,neighborhood,09/03/1999,186000,527400
805448,23519 Balmoral Ln,91307,West Hills,SingleFamily,2019,502921,1961,17189,1846,4,4,West Hills,neighborhood,05/08/1992,300000,651200
492312,1331 W Cruces St,90744,Wilmington,SingleFamily,2019,259000,1962,5250,1392,2,3,Wilmington,neighborhood,07/15/1993,170000,423700
1092424,23510 Burbank Blvd,91367,Woodland Hills,SingleFamily,2019,692637,1961,11761,2730,3.5,4,Woodland Hills,neighborhood,02/06/2009,505000,757200
603165,435 S La Fayette Park Pl UNIT 217,90057,Los Angeles,Condominium,2019,144433,1981,46949,1491,2,2,Rampart Village,neighborhood,NA,NA,NA
1795993,1520 N Genesee Ave,90046,Los Angeles,SingleFamily,2019,964343,1921,6762,2194,1,4,Hollywood,neighborhood,NA,NA,744100
1798353,3424 Troy Dr,90068,Los Angeles,SingleFamily,2019,1530306,1940,5606,2940,3,4,Hollywood Hills,neighborhood,04/29/2019,1708000,1755600
522468,16246 Septo St,91343,North Hills,SingleFamily,2019,547740,1957,6891,1605,2,4,North Hills,neighborhood,04/26/2019,643500,546400
657833,4412 W 61st St,90043,Los Angeles,SingleFamily,2019,225838,1951,5957,885,1,2,Park Mesa Heights,neighborhood,05/24/1995,150000,502000
5947991,1201 Amalfi Dr,90272,Pacific Palisades,SingleFamily,2019,2920087,1952,24877,4267,6,4,Pacific Palisades,neighborhood,NA,NA,2728800
400782,2002 E 105th St,90002,Los Angeles,SingleFamily,2019,156235,2005,4421,1334,2,3,Watts,neighborhood,03/05/2002,90500,322300
518981,4320 Glencoe Ave UNIT 4,90292,Los angeles,Townhouse,2019,141271,1974,552079,1866,2.5,2,Del Rey,neighborhood,09/05/2019,500000,934700
8597495,888 Toulon Dr,90272,Pacific Palisades,SingleFamily,2019,6450479,1994,13873,5735,6,4,Pacific Palisades,neighborhood,08/31/2016,6200000,2728800
652260,23069 Covello St,91307,West Hills,SingleFamily,2019,75109,1956,8051,1358,2,3,West Hills,neighborhood,NA,NA,651200
556462,7252 Capps Ave,91335,Reseda,SingleFamily,2019,439834,1950,6969,1140,1,2,Reseda,neighborhood,10/25/2004,352000,493700
978053,5226 Townsend Ave,90041,Los Angeles,SingleFamily,2019,394513,1925,7680,1346,1,3,Eagle Rock,neighborhood,NA,NA,794500
458983,8132 Redbush Ln,91402,Panorama City,SingleFamily,2019,435247,1950,5850,806,1,2,Panorama City,neighborhood,06/17/2004,341500,424200
1085157,5117 Russo St,90230,Los Angeles,SingleFamily,2019,138190,1967,217800,1700,2,3,Del Rey,neighborhood,NA,NA,934700
879778,23648 Aetna St,91367,Woodland Hills,SingleFamily,2019,706887,1960,8276,2219,2,3,Woodland Hills,neighborhood,06/17/2009,579000,757200
4554528,235 S Rossmore Ave,90004,Los Angeles,SingleFamily,2019,2420862,1924,18700,5094,4.5,5,Mid Wilshire,neighborhood,01/05/2012,2150021,1620500
632304,14000 Runnymede St,91405,Van Nuys,SingleFamily,2019,240299,1951,5656,1358,2,3,Van Nuys,neighborhood,01/27/1999,171000,548000
439270,1432 W F St,90744,Wilmington,SingleFamily,2019,253960,1944,5490,1001,1,3,Los Angeles,city,07/24/2008,220000,629900
613297,8211 Jumilla Ave,91306,Winnetka,SingleFamily,2019,412133,1957,9470,1496,2,3,Winnetka,neighborhood,07/24/1990,255000,527400
1090227,5722 El Canon Ave,91367,Woodland Hills,SingleFamily,2019,992228,1963,11325,2793,2,4,Woodland Hills,neighborhood,10/23/2015,935000,757200
1200568,2639 Jalmia Dr,90046,Los Angeles,SingleFamily,2019,1055841,1948,12149,1248,2,2,Hollywood Hills,neighborhood,12/16/2019,1180000,1755600
541822,235 E 31st St,90011,Los Angeles,SingleFamily,2019,254901,1904,6253,1439,1,3,Central City,neighborhood,05/27/1998,151363,395200
2585232,645 Santa Clara Ave,90291,Venice,SingleFamily,2019,2623472,1914,5187,1350,2,3,Venice,neighborhood,07/21/2015,1950000,1538600
593848,15632 Vintage St,91343,North Hills,SingleFamily,2019,477947,1954,6391,1329,2,3,North Hills,neighborhood,01/20/1999,175000,546400
1707784,3312 N Knoll Dr,90068,Los Angeles,SingleFamily,2019,1618000,1926,5614,2134,3,4,Hollywood Hills,neighborhood,08/30/2018,1618000,1755600
847004,3027 12th Ave,90018,Los Angeles,SingleFamily,2019,644239,1923,5301,1196,3,2,Jefferson Park,neighborhood,03/07/2007,507000,NA
738228,2728 Barbara St,90731,San Pedro,SingleFamily,2019,276680,1945,6635,1554,2,3,San Pedro,neighborhood,NA,NA,578000
440164,144 W 99th St,90003,Los Angeles,SingleFamily,2019,203796,1924,5227,1316,1,3,Southeast Los Angeles,neighborhood,05/03/2012,181000,359400
777033,5348 Zelzah Ave,91316,Encino,Condominium,2019,430517,1979,30660,2646,4,3,Encino,neighborhood,07/06/2012,390000,872400
566909,1015 W 75th St,90044,Los Angeles,SingleFamily,2019,347725,1913,5227,1725,1.5,5,South Los Angeles,neighborhood,04/05/2013,315000,429200
1418737,4224 Hazel Kirk Dr,90027,Los Angeles,SingleFamily,2019,436550,1927,5536,1540,2,2,Los Feliz,neighborhood,NA,NA,1454100
2677329,3372 Longridge Ter,91423,Sherman Oaks,SingleFamily,2019,1529461,1959,43679,3838,3,5,Sherman Oaks,neighborhood,07/30/2003,1200000,890000
873198,12427 Nugent Dr,91344,Granada Hills,SingleFamily,2019,826000,1973,11025,1745,2,3,Granada Hills,neighborhood,08/10/2018,826000,591300
547132,1502 W 45th St,90062,Los Angeles,SingleFamily,2019,97535,1914,5469,1290,1,2,South Los Angeles,neighborhood,NA,NA,429200
2289643,4235 Stern Ave,91423,Sherman Oaks,SingleFamily,2019,1463381,2007,6997,3330,5,4,Sherman Oaks,neighborhood,08/27/2004,715000,890000
1590918,6234 San Vicente Blvd,90048,Los Angeles,SingleFamily,2019,321013,1938,7500,1710,2,2,Mid City West,neighborhood,NA,NA,1516200
670291,2562 Mallory St,90032,Los Angeles,SingleFamily,2019,388727,1947,4799,1505,2,4,El Sereno,neighborhood,04/02/2004,305000,481700
1079238,4724 Halbrent Ave,91403,Sherman Oaks,SingleFamily,2019,115228,1940,7681,1610,2,3,Sherman Oaks,neighborhood,NA,NA,890000
988811,15203 La Maida St,91403,Sherman Oaks,SingleFamily,2019,349551,1940,5870,1581,2,2,Sherman Oaks,neighborhood,NA,NA,890000
669167,23055 Hamlin St,91307,West Hills,SingleFamily,2019,225838,1957,7543,1361,2,4,West Hills,neighborhood,08/30/1994,150000,651200
1721600,3413 Corinth Ave,90066,Los Angeles,SingleFamily,2019,195360,1953,8243,1790,2,3,Mar Vista,neighborhood,NA,NA,1309500
750623,15133 Marlin Pl,91405,Van Nuys,SingleFamily,2019,290012,1955,8449,2573,3,5,Van Nuys,neighborhood,NA,NA,548000
1213367,1419 Golden Gate Ave,90026,Los Angeles,SingleFamily,2019,589308,1907,5060,1872,1,4,Silver Lake,neighborhood,NA,NA,991200
884455,4545 San Andreas Ave,90065,Los Angeles,SingleFamily,2019,840000,1979,5640,1563,3,3,Mount Washington,neighborhood,12/18/2018,840000,745100
1626869,1418 Lindacrest Dr,90210,Beverly Hills,SingleFamily,2019,209641,1937,12060,368,1,1,Beverly Crest,neighborhood,NA,NA,2260600
893352,1653 Silver Oak Ter,90041,Los Angeles,SingleFamily,2019,2300,NA,3808,NA,NA,0,Eagle Rock,neighborhood,NA,NA,794500
864704,2746 Alsace Ave,90016,Los Angeles,Duplex,2019,303034,1992,4804,2080,2,6,West Adams,neighborhood,NA,NA,690600
1169313,16716 Moorpark St,91436,Encino,SingleFamily,2019,331924,1949,13308,1616,3,4,Encino,neighborhood,05/08/1979,60000,872400
2935575,364 Arno Way,90272,Pacific Palisades,SingleFamily,2019,1416142,1949,7890,1850,2,3,Pacific Palisades,neighborhood,03/09/2010,1198500,2728800
881159,4823 Satsuma Ave,91601,North Hollywood,SingleFamily,2019,70825,1936,6950,1182,1,2,North Hollywood,neighborhood,NA,NA,536800
1074457,1537 S Van Ness Ave,90019,Los Angeles,SingleFamily,2019,52687,1914,9786,2520,1,4,Arlington Heights,neighborhood,NA,NA,NA
1858189,2349 Brookshire Ln,90077,Los Angeles,SingleFamily,2019,1677862,1994,5533,2886,2.5,3,Bel Air,neighborhood,10/26/2009,1450000,3264800
639260,10619 Pinewood Ave,91042,Tujunga,SingleFamily,2019,457067,1977,5731,1401,3,3,Tujunga,neighborhood,12/31/2009,395500,558800
1383913,2114 India St,90039,Los angeles,SingleFamily,2019,653064,2012,4358,2560,3,3,Silver Lake,neighborhood,03/15/2012,580000,991200
558410,12008 Strathern St,91605,North Hollywood,SingleFamily,2019,217555,1955,7433,1213,2,3,Sun Valley,neighborhood,NA,NA,483500
994198,4519 El Reposo Dr,90065,Los Angeles,SingleFamily,2019,115343,1963,5501,2013,2,4,Eagle Rock,neighborhood,NA,NA,794500
946945,702 Shepard St,90731,San Pedro,Triplex,2019,134664,1930,5491,2235,3,4,San Pedro,neighborhood,09/10/1976,52000,578000
551681,19836 Sherman Way,91306,Winnetka,SingleFamily,2019,369121,1953,7829,1208,2,3,Winnetka,neighborhood,08/11/2009,319000,527400
561653,19819 Kittridge St,91306,Winnetka,SingleFamily,2019,288024,1953,7993,1113,2,3,Winnetka,neighborhood,11/07/2001,217500,527400
616145,8430 Wilbur Ave,91324,Northridge,SingleFamily,2019,82140,1964,7507,1636,2,4,Northridge,neighborhood,NA,NA,676300
668288,1724 S New Hampshire Ave,90006,Los Angeles,Duplex,2019,271922,1912,4800,1216,2,NA,Harvard Heights,neighborhood,12/23/2009,235000,671500
644670,4523 Homer St,90031,Los Angeles,SingleFamily,2019,160293,1924,4760,880,1,2,Montecito Heights,neighborhood,10/24/1997,112000,535500
1345102,8109 Creighton Ave,90045,Los Angeles,SingleFamily,2019,651443,1947,8350,1672,1.5,4,Westchester,neighborhood,NA,NA,1067500
621746,11424 Woodley Ave,91344,Granada Hills,SingleFamily,2019,286354,1958,7200,1528,2,3,Granada Hills,neighborhood,10/05/2000,212000,591300
675184,22335 Roscoe Blvd,91304,Canoga Park,SingleFamily,2019,327111,1958,10200,1676,2,4,West Hills,neighborhood,NA,NA,651200
1395633,5722 Fountain Ave,90028,Los Angeles,MultiFamily2To4,2019,1264800,1922,6050,3504,4,8,Hollywood,neighborhood,09/01/2017,1240000,744100
1514586,10303 Whipple St,91602,Toluca Lake,SingleFamily,2019,233693,1929,11936,1939,3,3,Toluca Lake,neighborhood,NA,NA,866000
1307807,4626 Morse Ave,91423,Sherman Oaks,SingleFamily,2019,952377,1937,7800,1841,1.75,3,Sherman Oaks,neighborhood,12/03/2008,825000,890000
574260,1462 Stonewood Ct,90732,San Pedro,Condominium,2019,328840,1976,258077,1572,3,2,San Pedro,neighborhood,02/16/1999,234000,578000
1878172,312 S Orange Dr,90036,Los Angeles,SingleFamily,2019,395208,1924,6752,2289,2,3,Mid Wilshire,neighborhood,NA,NA,1620500
953789,2803 W 43rd Pl,90008,Los Angeles,SingleFamily,2019,631418,1937,5201,1657,2,4,Leimert Park,neighborhood,09/30/2019,740000,683500
575197,1315 S Mesa St,90731,San Pedro,Duplex,2019,257275,1924,4500,1664,2,2,San Pedro,neighborhood,01/31/1996,105000,578000
470224,860 E 119th St,90059,Los Angeles,SingleFamily,2019,195678,1945,5663,1376,2,4,Southeast Los Angeles,neighborhood,08/26/1996,105000,359400
779648,2338 Bullard Ave,90032,Los Angeles,SingleFamily,2019,480641,1962,6975,1898,2,3,University Hills,neighborhood,11/23/2010,418500,455700
1215742,5148 Quakertown Ave,91364,Woodland Hills,SingleFamily,2019,655162,1951,21981,2319,3,3,Woodland Hills,neighborhood,08/24/1993,430000,757200
901935,22620 Hatteras St,91367,Woodland Hills,SingleFamily,2019,714569,1955,10802,2015,3,3,Woodland Hills,neighborhood,09/17/2008,619000,757200
745223,1342 W 22nd St,90732,Los Angeles,SingleFamily,2019,64382,1927,5625,1411,1,2,San Pedro,neighborhood,NA,NA,578000
8533763,1201 Stone Canyon Rd,90077,Los Angeles,SingleFamily,2019,8176811,1935,120356,6101,7,6,Bel Air,neighborhood,04/12/2019,8100000,3264800
1123758,1533 S Cloverdale Ave,90019,Los Angeles,SingleFamily,2019,762476,1996,5488,2162,3,3,Mid City,neighborhood,01/08/2016,718500,862400
2279330,15601 Meadowgate Rd,91436,Encino,SingleFamily,2019,1378530,1955,15751,2887,4,4,Encino,neighborhood,02/20/2019,1670000,872400
402289,1320 W 76th St,90044,Los Angeles,SingleFamily,2019,338130,1923,5662,1008,1,2,South Los Angeles,neighborhood,02/02/2017,325000,429200
353199,9533 Grape St,90002,Los Angeles,SingleFamily,2019,316200,1957,3375,817,1,3,Watts,neighborhood,07/11/2017,310000,322300
770486,2833 W West View St,90016,Los Angeles,Duplex,2019,165157,1924,3899,1522,2,2,West Adams,neighborhood,NA,NA,690600
1067273,1107 W 24th St,90731,Los Angeles,Triplex,2019,290307,1973,5402,3476,4,5,San Pedro,neighborhood,NA,NA,578000
871148,7330 Hyannis Dr,91307,West Hills,SingleFamily,2019,560725,1971,18483,2470,3,4,West Hills,neighborhood,08/03/1998,399000,651200
1282700,2767 Stoner Ave,90064,Los Angeles,SingleFamily,2019,783025,1940,4841,1112,1,2,Mar Vista,neighborhood,12/04/2007,665000,1309500
1022873,6040 Neddy Ave,91367,Woodland Hills,SingleFamily,2019,149618,1964,10982,2871,3,4,Woodland Hills,neighborhood,NA,NA,757200
3904296,200 Lorraine Blvd,90004,Los Angeles,SingleFamily,2019,3445507,1923,10865,3916,4.5,4,Mid Wilshire,neighborhood,11/04/2010,3000030,1620500
1866550,310 Washington Blvd UNIT 604,90292,Marina Del Rey,Townhouse,2019,1664639,2012,10140,1950,3,3,Venice,neighborhood,03/30/2017,1600000,1538600
668558,19533 Victory Blvd,91335,Reseda,SingleFamily,2019,204382,1956,7645,1679,2,4,Reseda,neighborhood,12/17/1996,140000,493700
3295710,443 W Rustic Rd,90402,Santa Monica,SingleFamily,2019,2049068,1947,6250,2219,2,3,Pacific Palisades,neighborhood,10/08/2008,1775000,2728800
444570,1543 W 60th St,90047,Los Angeles,SingleFamily,2019,391000,1922,3360,902,1,2,South Los Angeles,neighborhood,07/01/2005,362000,429200
805854,2345 W 30th St,90018,Los Angeles,SingleFamily,2019,770100,1911,4991,1286,2,3,Jefferson Park,neighborhood,05/18/2018,755000,NA
555751,2461 Chelsea St,90033,Los Angeles,Duplex,2019,224842,1922,4958,1208,2,2,El Sereno,neighborhood,12/08/1998,160000,481700
517661,7426 S Denker Ave,90047,Los Angeles,SingleFamily,2019,259293,1940,5301,1387,1,2,South Los Angeles,neighborhood,05/30/2002,185000,429200
678677,14729 Hartland St,91405,Van Nuys,SingleFamily,2019,81923,1953,9082,1497,2,3,Van Nuys,neighborhood,NA,NA,548000
1484325,3059 Landa St,90039,Los Angeles,SingleFamily,2019,346788,1983,6520,1951,2,1,Silver Lake,neighborhood,NA,NA,991200
680659,2219 Sichel St,90031,Los Angeles,SingleFamily,2019,73475,1895,9899,1399,1,3,Lincoln Heights,neighborhood,NA,NA,489200
1146108,4850 Radford Ave,91607,Valley Village,SingleFamily,2019,870189,1948,5997,1748,2,2,Valley Village,neighborhood,11/06/2015,820000,851200
515143,725 W 109th St,90044,Los Angeles,SingleFamily,2019,50053,1938,6390,1549,2,2,South Los Angeles,neighborhood,05/23/2019,490000,429200
940281,1424 Amherst Ave APT 101,90025,Los Angeles,Condominium,2019,861900,1970,13750,1469,2,2,Sawtelle,neighborhood,10/19/2017,845000,849300
601777,5128 Wall St,90011,Los Angeles,MultiFamily2To4,2019,430122,1913,6011,2256,2,4,Southeast Los Angeles,neighborhood,08/26/2011,382000,359400
771115,17350 Hart St,91406,Van Nuys,SingleFamily,2019,639845,1952,16949,1342,2,3,Lake Balboa,neighborhood,07/27/2016,615000,546200
615098,8957 S Hobart Blvd,90047,Los Angeles,SingleFamily,2019,193577,1938,6493,1719,2,3,South Los Angeles,neighborhood,04/18/1996,130000,429200
741907,10015 Ruffner Ave,91343,North Hills,SingleFamily,2019,710940,1958,8616,2222,2,3,North Hills,neighborhood,06/07/2018,697000,546400
514520,424 Laconia Blvd,90061,Los Angeles,Duplex,2019,26295,1920,7235,1604,2,4,Willowbrook,city,NA,NA,374500
2567780,2511 Carob Dr,90046,Los Angeles,SingleFamily,2019,258571,NA,22001,NA,NA,0,Hollywood Hills,neighborhood,NA,NA,1755600
405769,1423 W 69th St,90047,Los Angeles,SingleFamily,2019,92794,1922,4682,573,1,2,South Los Angeles,neighborhood,NA,NA,429200
661691,8353 Petaluma Dr,91352,Sun Valley,SingleFamily,2019,67180,1956,6527,1197,2,3,Sun Valley,neighborhood,NA,NA,483500
542872,17401 Covello St,91406,Van Nuys,SingleFamily,2019,457886,1950,5662,1000,1,2,Lake Balboa,neighborhood,01/16/2015,425000,546200
955322,931 N Croft Ave,90069,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,750,1,1,Mid City West,neighborhood,NA,NA,1516200
1052570,12424 Littler Pl,91344,Granada Hills,SingleFamily,2019,757128,1960,21091,3592,3,5,Granada Hills,neighborhood,08/21/2013,635000,591300
1876417,12620 Rubens Ave,90066,Los Angeles,SingleFamily,2019,1785000,1989,5000,2422,3,4,Del Rey,neighborhood,04/19/2018,1750000,934700
679168,8751 Sari Ave,91343,Northridge,SingleFamily,2019,496752,1977,7773,1815,2,3,Northridge,neighborhood,06/24/2013,450000,676300
650494,16911 Mayall St,91343,North Hills,SingleFamily,2019,601800,1958,7749,1510,2,3,North Hills,neighborhood,11/28/2017,590000,546400
2082515,9344 Oakmore Rd,90035,Los Angeles,SingleFamily,2019,609054,1941,7050,2106,2,3,Beverlywood,neighborhood,NA,NA,1617800
1041703,22917 Oxnard St,91367,Woodland Hills,SingleFamily,2019,90276,1949,37461,1648,1,2,Woodland Hills,neighborhood,01/16/2019,1090000,757200
472174,1213 E 53rd St,90011,Los Angeles,Duplex,2019,30493,1912,5400,1512,2,3,Southeast Los Angeles,neighborhood,NA,NA,359400
664398,5342 Village Grn,90016,Los Angeles,Condominium,2019,220000,1942,557237,1100,1,2,Crenshaw,neighborhood,05/17/2010,295000,654800
643611,153 N Hanford Ave,90732,San Pedro,SingleFamily,2019,65223,1939,5851,1592,2,3,San Pedro,neighborhood,NA,NA,578000
2454725,4412 Bergamo Dr,91436,Encino,SingleFamily,2019,2219692,1959,18382,2964,4,4,Encino,neighborhood,07/06/2016,2133500,872400
857680,17409 Golden Cir,91344,Granada Hills,SingleFamily,2019,636424,1978,13503,2641,3,4,Granada Hills,neighborhood,02/03/2010,550000,591300
943133,474 N Ardmore Ave,90004,Los Angeles,MultiFamily2To4,2019,279081,1922,4331,1503,2,2,Hollywood,neighborhood,01/07/2011,243000,744100
459527,649 E 77th St,90001,Los Angeles,SingleFamily,2019,322523,1925,5100,1261,2,3,Southeast Los Angeles,neighborhood,02/28/2017,310000,359400
1274143,3693 S La Cienega Blvd,90016,Los Angeles,Townhouse,2019,610721,2008,21805,2475,3.5,4,Crenshaw,neighborhood,NA,NA,654800
1457828,2620 Bronholly Dr,90068,Los Angeles,SingleFamily,2019,1375000,1966,4281,1478,3,2,Hollywood Hills,neighborhood,07/10/2018,1375000,1755600
829748,10878 Bloomfield St,91602,Toluca Lake,MultiFamily2To4,NA,NA,NA,NA,1557,2,2,Studio City,neighborhood,NA,NA,1188900
636982,7319 Nestle Ave,91335,Reseda,SingleFamily,2019,493460,1950,10124,1582,1,3,Reseda,neighborhood,11/25/2015,465000,493700
585265,12736 Cohasset St,91605,North Hollywood,SingleFamily,2019,530400,1956,7405,1602,2,3,Sun Valley,neighborhood,09/01/2017,520000,483500
1409332,4101 Sano St,90065,Los Angeles,SingleFamily,2019,960391,1965,9900,2502,3,4,Mount Washington,neighborhood,05/04/2016,905000,745100
1566850,506 N Gardner St,90036,Los Angeles,SingleFamily,2019,1260000,1935,6102,1423,1,2,Mid City West,neighborhood,09/19/2018,1260000,1516200
3683853,13570 Bayliss Rd,90049,Los Angeles,SingleFamily,2019,405706,1964,15528,3643,4,3,Brentwood,neighborhood,NA,NA,2404000
473611,1407 E 110th St,90059,Los Angeles,SingleFamily,2019,453900,2013,3828,1896,3,4,Watts,neighborhood,06/11/2018,445000,322300
1518212,12207 Palms Blvd,90066,Los Angeles,SingleFamily,2019,783273,1953,5785,1365,2,2,Mar Vista,neighborhood,07/20/2010,682000,1309500
655466,5734 4th Ave,90043,Los Angeles,SingleFamily,2019,266589,1920,5404,1862,2,4,Park Mesa Heights,neighborhood,04/01/1994,135000,502000
1083343,7321 W 85th St,90045,Los Angeles,SingleFamily,2019,248850,1942,5811,1158,1,2,Playa Del Rey,neighborhood,NA,NA,NA
979617,6513 La Mirada Ave,90038,Los Angeles,SingleFamily,2019,801694,2012,973,1736,3,2,Hollywood,neighborhood,12/09/2011,712000,744100
1835511,16507 Bosque Dr,91436,Encino,SingleFamily,2019,1648485,1956,14700,3104,3,4,Encino,neighborhood,02/01/2008,1400000,872400
623574,10728 Mcvine Ave,91040,Sunland,SingleFamily,2019,526441,1953,6045,1254,2,3,Sunland,neighborhood,NA,NA,553500
1450205,1525 S Van Ness Ave,90019,Los Angeles,Quadruplex,2019,766046,1910,10677,4309,4,6,Arlington Heights,neighborhood,10/02/2019,7110000,NA
932495,5322 Monte Vista St,90042,Los Angeles,SingleFamily,2019,268659,1906,5999,2352,2,4,Highland Park,neighborhood,05/12/2000,150000,700300
1368201,4327 Westlawn Ave,90066,Los Angeles,SingleFamily,2019,294848,1947,6647,1413,2,3,Del Rey,neighborhood,06/28/1996,198000,934700
566636,8033 Darby Pl,91335,Reseda,SingleFamily,2019,338205,1953,6249,1235,2,3,Reseda,neighborhood,08/16/2002,260500,493700
1093172,4918 Imlay Ave,90230,Los Angeles,SingleFamily,2019,502484,1947,5002,1307,2,3,Del Rey,neighborhood,12/05/2000,372000,934700
559338,14949 Blythe St,91402,Panorama City,SingleFamily,2019,73322,1954,7383,1223,2,3,Panorama City,neighborhood,NA,NA,424200
767293,16735 Armstead St,91344,Granada Hills,SingleFamily,2019,650784,1956,13068,1851,2,3,Granada Hills,neighborhood,11/23/2010,515000,591300
