zestimate.amount,street.name.and.number,zip.code,city,use.code,tax.assessment.year,tax.assessment.value,year.built,lot.size,finished.sqft,bathrooms,bedrooms,region.name,region.type,last.sold.date,last.sold.price,zindex.value
513018,13101 Osborne St,91331,Pacoima,SingleFamily,2019,57084,1953,6712,1157,2,3,Pacoima,neighborhood,NA,NA,429400
3234062,2531 Westridge Rd,90049,Los Angeles,SingleFamily,2019,2952900,1971,26993,3133,4,4,Brentwood,neighborhood,10/02/2017,2895000,2404000
462356,500 E 33rd St,90011,Los Angeles,Duplex,2019,287009,1924,3183,1232,2,2,Central City,neighborhood,06/25/2013,260000,395200
679556,8039 Grove St,91040,Sunland,SingleFamily,2019,527917,1971,6621,1559,2,4,Sunland,neighborhood,02/27/2015,490000,553500
464500,1624 W 56th St,90062,Los Angeles,SingleFamily,2019,154484,1912,4982,1106,1,2,South Los Angeles,neighborhood,12/19/2002,119000,429200
689404,21047 Runnymede St,91303,Canoga Park,SingleFamily,2019,474048,1951,6499,2115,3,4,Canoga Park,neighborhood,09/05/2014,440000,487900
724118,15850 Gresham St,91343,North Hills,SingleFamily,2019,398471,1959,9659,2007,2,4,North Hills,neighborhood,03/16/2001,295000,546400
1227252,12917 Admiral Ave,90066,Los Angeles,MultiFamily2To4,2019,1147500,1950,5628,943,1.5,2,Del Rey,neighborhood,01/17/2018,1125000,934700
1701287,10307 Clusterberry Ct,90077,Los Angeles,SingleFamily,2019,1655484,1970,404251,2339,3,4,Beverly Crest,neighborhood,07/27/2015,1560000,2260600
3913909,16160 Valley Meadow Pl,91436,Encino,SingleFamily,2019,3121053,2003,26593,5883,7,5,Encino,neighborhood,09/03/2010,2717500,872400
1145679,4252 Greenbush Ave,91423,Sherman Oaks,SingleFamily,2019,741763,1944,5662,1153,1,3,Sherman Oaks,neighborhood,01/30/2014,675000,890000
2282073,10557 Dunleer Dr,90064,Los Angeles,SingleFamily,2019,2147100,1947,6752,2968,4,4,Cheviot Hills,neighborhood,02/16/2018,2105000,1814100
735433,1400 W 36th St,90018,Los Angeles,SingleFamily,2019,269236,1984,5357,1558,2,3,South Los Angeles,neighborhood,09/10/2012,244000,429200
1072700,2917 S Bronson Ave,90018,Los Angeles,Triplex,2019,453987,1926,7248,3527,3,5,Jefferson Park,neighborhood,09/27/2012,325003,NA
449483,1216 W 74th St,90044,Los Angeles,SingleFamily,2019,320520,1923,5575,884,1,2,South Los Angeles,neighborhood,11/10/2014,297500,429200
736986,6431 Dix St,90068,Los Angeles,SingleFamily,2019,170931,1918,1708,720,1,2,Hollywood Hills,neighborhood,NA,NA,1755600
1400647,4431 Portola Ave,90032,Los Angeles,SingleFamily,2019,463636,1958,6356,6357,3,4,El Sereno,neighborhood,04/05/2013,420000,481700
1333413,3150 Laurel Canyon Blvd,91604,Studio City,SingleFamily,2019,1198500,1965,9247,1973,2,3,Studio City,neighborhood,07/28/2017,1175000,1188900
380432,10436 Mary Ave,90002,Los Angeles,SingleFamily,2019,192304,1944,5184,1030,1,3,Watts,neighborhood,11/26/2013,175000,322300
600164,3807 Hellman Ave,90032,Los Angeles,SingleFamily,2019,64646,1921,7534,896,1,2,El Sereno,neighborhood,05/18/1979,32500,481700
1092281,8013 Regis Way,90045,Los Angeles,SingleFamily,2019,577753,1949,4801,1368,1,3,Westchester,neighborhood,02/25/2003,300000,1067500
3866398,9014 Larke Ellen Cir,90035,Los Angeles,SingleFamily,2019,2778246,1927,9662,4666,8,7,Pico-Robertson,neighborhood,08/13/2009,2300000,1202500
757256,7124 Helmsdale Rd,91307,West Hills,SingleFamily,2019,361362,1961,11025,1618,2,4,West Hills,neighborhood,08/29/1994,240000,651200
727982,16814 Citronia St,91343,Northridge,SingleFamily,2019,609894,1957,9147,2144,3,4,Northridge,neighborhood,07/25/2013,555000,676300
1050827,2418 Berkeley Ave,90026,Los Angeles,SingleFamily,2019,46752,1922,7290,1222,1,3,Silver Lake,neighborhood,NA,NA,991200
364681,13554 Weidner St,91331,Pacoima,SingleFamily,2019,346800,1949,6923,1059,1,3,Pacoima,neighborhood,04/16/2018,340000,429400
1099627,8585 Walnut Dr,90046,Los Angeles,SingleFamily,2019,898927,1949,3162,992,1,1,Hollywood Hills,neighborhood,11/22/2005,815000,1755600
1584972,1788 N Orange Grove Ave,90046,Los Angeles,Townhouse,2019,411374,1953,3950,2093,9,4,Hollywood Hills,neighborhood,NA,NA,1755600
3012936,521 Lombard Ave,90272,Pacific Palisades,SingleFamily,2019,176882,1941,6002,2277,3,4,Pacific Palisades,neighborhood,04/07/1998,500000,2728800
6619444,9332 Readcrest Dr,90210,Beverly Hills,SingleFamily,2019,3471172,1926,12819,5286,6,4,Beverly Crest,neighborhood,NA,NA,2260600
582381,20641 Archwood St,91306,Winnetka,SingleFamily,2019,79279,1954,7504,1362,2,4,Winnetka,neighborhood,NA,NA,527400
2093973,347 N Skyewiay Rd,90049,Los Angeles,SingleFamily,2019,192806,1955,7321,1405,2,3,Brentwood,neighborhood,NA,NA,2404000
2300430,10642 Ohio Ave,90024,Los Angeles,SingleFamily,2019,667565,1938,6499,2442,3,3,Westwood,neighborhood,NA,NA,1137700
594563,20845 Brighton Ave,90501,Torrance,SingleFamily,2019,541007,1956,6751,1480,2,3,Harbor Gateway,neighborhood,06/26/2017,520000,513600
529108,11510 Cararra Ln,91326,Northridge,Condominium,2019,499800,2008,40202,1096,2,2,Porter Ranch,neighborhood,03/08/2018,490000,756700
2093102,2534 Zorada Dr,90046,Los Angeles,SingleFamily,2019,901558,1955,21996,2244,3,4,Hollywood Hills,neighborhood,02/14/1997,617500,1755600
566394,7319 S Halldale Ave,90047,Los Angeles,SingleFamily,2019,214447,1927,5201,1514,2,3,South Los Angeles,neighborhood,NA,NA,429200
1872599,3667 Ocean View Ave,90066,Los Angeles,SingleFamily,2019,373220,1921,8580,2121,3,4,Mar Vista,neighborhood,NA,NA,1309500
598842,2132 W 82nd St,90047,Los Angeles,SingleFamily,2019,452499,1927,5654,1527,2,3,South Los Angeles,neighborhood,05/15/2015,420000,429200
